CO2(g/s),Velocity(km/h),Acceleration(m/s2),EngineLoad(%),EngineRPM(rpm),ThrottlePosition(Manifold)(%),TurboBoost&VacuumGauge(psi), Altitude(m)
0,0,0,56.07843399,852.25,20.7843132,-9.76871681,233.1560489
0.385800664,0,1.072362264,52.54901886,1717.5,23.52941132,-5.27254677,233.1560489
0.212564887,3.86050415,2.663494481,63.52941132,1619.75,23.92156982,-4.40232086,233.2167892
1.373214729,13.44908428,1.223179236,59.2156868,2463,16.47058868,-11.79924488,232.4507159
2.653110774,17.85252953,0.475031003,76.07843018,1642.25,14.90196133,-5.70765972,232.3360495
3.110078479,19.56264114,1.434505781,89.01960754,2123,26.66666794,-1.06645203,233.5142046
0.135537043,24.72686195,2.028265531,56.07843399,2589.5,15.29411793,-2.37179184,233.1804434
1.793833553,32.02861786,0.122078789,13.33333397,2600.5,12.94117641,-11.36413193,233.1936662
3.717897833,32.4681015,-0.329119894,38.4313736,1753.25,20.3921566,-3.532094,233.5380253
0.958716811,31.28326988,1.059131094,85.88235474,1890.75,31.37254906,-1.21149063,233.6974563
0.348179504,35.09614182,1.024670069,80,2027.5,29.01960754,-1.93667889,234.129625
1.563145205,38.78495407,0.639855067,72.15686035,2268.5,22.35294151,-11.21909428,233.9515716
2.595200973,41.08843231,0.145694944,38.03921509,1617,12.54901981,-11.79924488,233.4236375
2.594489353,41.61293411,0.112164817,65.49019623,1662.75,23.13725471,-5.12750912,233.5988523
0.008210782,42.01672745,0.210819244,69.80392456,1710.75,24.70588303,-3.2420187,234.2905229
0.648865031,42.77567673,0.761189989,7.05882359,1788.5,22.74509811,-10.05879211,234.4940094
1.156671703,45.51596069,0.063051647,0,1792.25,12.15686321,-12.08932018,234.5151418
1.360460911,45.74294662,-0.862934322,0,1721.25,12.54901981,-11.79924488,234.4411536
0.194948199,42.63638306,-0.696038142,0,1620.5,12.54901981,-11.94428253,234.3957459
0.165851351,40.13064575,-0.455994075,0,1592,13.72549057,-11.94428253,234.099707
0.050664738,38.48906708,0.386874939,54.11764908,1608.5,20,-6.57788658,233.9445371
0.164920339,39.88181686,0.172017417,49.41176605,1665.75,19.6078434,-6.28781128,233.9903413
0.558038452,40.50107956,0.184152392,63.92156982,1722,20.7843132,-4.40232086,233.9261813
0.780595668,41.16402817,0.204612944,52.54901886,1752.75,23.13725471,-4.69239616,234.0069852
1.052524021,41.90063477,0.335525936,27.45098114,1785.25,16.47058868,-7.01299953,234.0678702
1.019170405,43.10852814,0.123638575,23.13725471,1779.25,18.4313736,-10.63894272,234.144175
1.010979398,43.55362701,-0.133763419,43.52941132,1787.5,20,-7.59315062,234.0548542
0.415596417,43.0720787,0.359856289,46.66666794,1794.5,20.7843132,-6.28781128,233.8794266
0.64870255,44.36756134,0.302774642,50.98039246,1838,21.56862831,-5.27254677,234.0677646
1.064708991,45.45755005,0.068998336,53.33333588,1879.25,21.96078491,-5.12750912,234.094747
1.417253744,45.70594406,0.170423719,71.37255096,1939,24.31372643,-3.09698105,234.1454164
1.392551137,46.31946945,0.591399936,77.64705658,2005.25,25.88235283,-2.9519434,234.2016705
1.447156494,48.44850922,0.51481035,50.98039246,2054.5,22.35294151,-3.532094,234.512316
1.78614277,50.30182648,0.395494036,49.01960754,2095.25,21.96078491,-5.70765972,234.5995753
2.030501471,51.72560501,0.156296625,31.76470566,2129.75,14.50980377,-6.86796188,234.4845493
1.812059094,52.28827286,0.006902483,4.70588255,1743.75,12.15686321,-9.0435276,234.5260443
1.759533085,52.3131218,-0.2889061,20.7843132,1612.75,16.47058868,-7.73818827,234.7086059
0.054079112,51.27305984,0.025287206,52.15686417,1631.25,20.3921566,-5.70765972,234.8258294
0.537956128,51.36409378,0.330257417,49.41176605,1645,20.3921566,-5.70765972,235.0376191
0.703317775,52.55302048,0.160575442,45.49019623,1657.25,19.2156868,-6.28781128,235.1756303
0.901310392,53.13109207,-0.068027708,43.13725662,1664.5,18.8235302,-6.57788658,235.2260984
0.772904301,52.88619232,0.021876231,41.5686264,1670.5,16.86274529,-6.86796188,235.4165677
0.879469947,52.96494675,-0.091094972,1.96078432,1694,11.37254906,-11.21909428,235.607617
0.645759265,52.63700485,-0.282175275,0,1636.25,12.54901981,-11.79924488,235.7819831
0.23638508,51.62117386,-0.384434594,0,1589.75,12.54901981,-11.94428253,235.8738017
0.287656672,50.23720932,-0.331934822,0,1566.25,12.54901981,-11.94428253,235.9529059
0.241925507,49.04224396,-0.279821819,0,1517,12.54901981,-11.94428253,235.8972462
0.344833348,48.03488541,-1.214731006,4.70588255,1356.25,12.15686321,-11.94428253,235.8146742
0,43.66185379,-1.625432969,18.03921509,1232.25,13.33333397,-11.79924488,235.9381465
0.311922643,37.8102951,-0.791611139,21.17647171,1198.5,14.11764717,-10.92901802,235.9442648
0.247921438,34.960495,-2.168398964,23.92156982,1155.25,14.11764717,-10.20382977,235.7823587
0.313644707,27.15425873,-2.482479944,21.56862831,1118.5,14.11764717,-10.20382977,236.0652319
0.184696934,18.21733093,-2.197754383,22.35294151,999.25,13.72549057,-10.05879211,235.7659446
0.527716653,10.30541515,-1.299679411,25.49019623,900.5,12.94117641,-10.05879211,235.7484183
0.182291212,5.62656927,-0.515218111,27.84313774,835.25,12.94117641,-9.91375446,235.9961345
0.244833472,3.77178407,-0.357611644,28.62745094,795.5,12.94117641,-9.91375446,236.2271409
0.235348363,2.48438215,-0.690106153,31.37254906,1248,14.90196133,-8.463377,235.6177378
0.10128587,0,1.166528861,18.03921509,1088.25,16.07843208,-8.463377,235.6177378
0.095620264,4.1995039,0.634590653,21.17647171,1048,13.33333397,-10.49390602,235.518186
0.517235071,6.48403025,-0.210406119,23.92156982,949.5,13.33333397,-10.05879211,235.8755581
0.45005005,5.72656822,-0.738313861,26.27450943,890.25,13.33333397,-9.91375446,235.8706053
0.348155,3.06863832,-0.852399533,27.45098114,842.25,12.94117641,-9.91375446,236.3523386
0.438547949,0,0,28.62745094,794.5,12.94117641,-9.76871681,236.8276672
0.243344429,0,0,29.80392265,769.5,12.94117641,-9.76871681,236.8276672
0.133529689,0,0,23.92156982,803.75,12.54901981,-9.91375446,236.8276672
0.079372905,0,0,26.66666794,1220.75,12.54901981,-5.56262207,236.8276672
0.116173882,0,1.3570008,87.45098114,1196.5,19.6078434,-3.09698105,236.8276672
0.26880509,4.88520288,1.904166144,59.2156868,1929,21.17647171,-4.40232086,236.5910062
0.986210014,11.740201,1.250612206,18.03921509,2463.75,15.68627453,-11.07405663,236.6982854
2.59809626,16.24240494,0.4077265,37.25490189,1560.25,18.03921509,-8.31833935,236.4596776
2.2806239,17.71022034,0.536566839,50.98039246,1497,20,-6.43284893,236.2724363
0.235798292,19.64186096,0.313181347,40,1839.5,18.03921509,-5.99773598,236.1402194
0.90080166,20.76931381,1.194352575,85.49019623,2119.75,25.09803963,-2.08171654,236.168009
1.206532807,25.06898308,1.505911086,41.17647171,2520,15.68627453,-1.93667889,236.0461081
1.370985306,30.49026299,-0.013677811,14.90196133,2306.5,16.07843208,-12.08932018,235.4876607
3.260858042,30.44102287,0.514747303,49.41176605,1641.5,23.52941132,-6.86796188,235.3805813
0.256120764,32.29411316,0.571663114,98.03921509,1751.75,43.92156982,-2.22675419,234.2636514
0.645987372,34.35210037,0.948722628,69.01960754,2048.75,25.88235283,-3.532094,234.1164662
2.409621546,37.76750183,0.796985628,60,2185,25.49019623,-4.11224461,234.7519969
2.178799629,40.63665009,0.471970239,49.80392075,2288,22.74509811,-5.27254677,235.0495378
1.900788947,42.33574295,0.568686592,45.88235474,2360.5,21.17647171,-5.99773598,234.7632942
1.772689919,44.38301468,0.151578056,16.47058868,2422,12.94117641,-8.89849091,234.4738249
2.072316025,44.92869568,-0.188337961,0,2380.25,14.11764717,-12.08932018,234.7862798
